symbol,list,species,m,gene_name,ensembl,models,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,WM,p_value,fdr,t_stat,log_fc,rank,mean_expr,best_gene_m,best_gene_name,best_gene_ensembl,best_gene_p_value,best_gene_fdr,best_gene_t_stat,best_gene_log_fc,best_gene_mean_expr
Tmem163,KM,MH,3122,TMEM163,ENSG00000152128,Layer3+Layer6,0,0,1,0,0,1,0,0.037168252239152,0.363231554520089,2.12081637843761,0.316062028568621,2282,5.53117523642182,3110,TUBA3D,ENSG00000075886,3.27468732158247e-09,7.31270425782581e-05,6.6872367047199,0.895643861827224,0.390252287290471
Lgals1,KM,H,21822,LGALS1,ENSG00000100097,Layer3+Layer5+Layer6,0,0,1,0,1,1,0,0.0378349550111872,0.164312014849246,2.1132199020927,0.17717369370066,5142,9.74240834756964,14498,WSB2,ENSG00000176871,4.28038467753848e-10,9.55852702341119e-06,7.15615766252993,0.379212744011123,9.34448195501661
Prss12,KM,MH,5558,PRSS12,ENSG00000164099,Layer3,0,0,1,0,0,0,0,0.0392537687144084,0.327295689209923,2.09737371007786,0.762555212753784,2678,2.61339598069502,6121,CARTPT,ENSG00000164326,2.072555835597e-12,4.62822443647165e-08,8.36374299099679,2.26423381677419,6.42682346372285
Scn4b,KM,MH,12444,SCN4B,ENSG00000177098,Layer2+Layer3+Layer5,0,1,1,0,1,0,0,0.0418207967201258,0.135191113427494,2.06997309605157,0.410259516047491,6908,6.26747985831968,5702,FAM198B,ENSG00000164125,2.82887732613666e-14,6.31716595699578e-10,-9.33334432562621,-0.686573532589193,6.6899812227886
PlxnD1,BM,MH,4567,PLXND1,ENSG00000004399,Layer2+Layer5,0,1,0,0,1,0,0,0.0460635539322772,0.250522460511856,-2.02770250452557,-0.16044503852059,4106,6.12054472928313,18108,SEZ6,ENSG00000063015,9.93842839671991e-14,2.21935044527152e-09,9.04938062165288,0.660133581392092,6.33563284864135
lhx2,BM,MH,11110,LHX2,ENSG00000106689,Layer2+Layer3+Layer4,0,1,1,1,0,0,0,0.0472603833342105,0.14004400480842,2.01637832725796,0.195087866752934,7536,6.44182967088552,8315,VSTM2A,ENSG00000170419,1.0308007000158e-17,2.30188104320529e-13,11.1481218349682,1.00821937847541,7.43945153359609
Col6a1,KM,MH,22307,COL6A1,ENSG00000142156,Layer3+Layer4+Layer5+Layer6,0,0,1,1,1,1,0,0.0477154504412855,0.123827277606548,-2.01219380065256,-0.218685408273417,8605,6.88173978847482,6256,PCSK1,ENSG00000175426,1.14753183214474e-24,1.5055434005053e-20,15.0991212764992,1.60989033015415,6.33782138131468
Nr4a3,BM,MH,10977,NR4A3,ENSG00000119508,Layer6,0,0,0,0,0,1,0,0.0501318401772401,0.406516925027477,1.99019308890796,0.436983968353121,2753,3.49944177505624,16311,ISLR,ENSG00000129009,7.83896921582275e-15,1.75052021558538e-10,9.62381843273433,1.58399420151474,5.62371916230842
Grik4,KM,H,12506,GRIK4,ENSG00000149403,Layer4+Layer6,0,0,0,1,0,1,0,0.0555396120304356,0.298497009928197,-1.94418442456932,-0.355989928778761,4155,4.35967785972399,11737,TP53I11,ENSG00000175274,9.97776484677677e-10,2.22813466793372e-05,-6.96160879846757,-0.689930644127892,5.96535930320428
Syt2,KM,MH,1863,SYT2,ENSG00000143858,Layer2+Layer3+Layer5,0,1,1,0,1,0,0,0.0692584937387744,0.193229813053545,1.84254906500701,0.586668355777855,8004,4.45910988382566,5702,FAM198B,ENSG00000164125,2.82887732613666e-14,6.31716595699578e-10,-9.33334432562621,-0.686573532589193,6.6899812227886
Wfs1,KM,MH,5081,WFS1,ENSG00000109501,Layer2,0,1,0,0,0,0,0,0.0698085817348068,0.313031212594372,1.83883797831766,0.213356602470221,4980,6.9078292708006,15403,DACT1,ENSG00000165617,4.67588095376895e-15,1.04417097578615e-10,9.7414105700426,2.16028204661245,4.03020959264466
Inpp4b,KM,MH,5636,INPP4B,ENSG00000109452,Layer1+Layer2+Layer3,1,1,1,0,0,0,0,0.0780779707820979,0.238574226414351,1.78582918348003,0.305416959214794,7308,4.24476630535839,3621,SERPINE2,ENSG00000135919,2.53149100279041e-27,5.65307255833127e-23,16.7345207868089,1.12953047188837,8.32352165551592
Opn3,BM,MH,2184,OPN3,ENSG00000054277,Layer5,0,0,0,0,1,0,0,0.0954044077633062,0.483951107334198,1.68835798652008,0.274376770310018,4400,6.79267220618005,22225,PCP4,ENSG00000183036,1.81340006038636e-19,4.04950367484879e-15,12.1021477659984,1.87598304746994,8.23855286998732
Id2,BM,MH,2290,ID2,ENSG00000115738,Layer2+Layer3+Layer5+Layer6,0,1,1,0,1,1,0,0.112762193282482,0.258133525186173,1.60429030046954,0.107869366540529,9755,8.08654019569367,16123,ARPP19,ENSG00000128989,1.6870551404757e-15,3.76736283419629e-11,9.97536272510323,0.47446714649061,10.7203760097119
Oma1,BM,MH,830,OMA1,ENSG00000162600,Layer5,0,0,0,0,1,0,0,0.112798489197502,0.518287795246116,-1.6041152076952,-0.313494657004183,4859,3.69541558843783,22225,PCP4,ENSG00000183036,1.81340006038636e-19,4.04950367484879e-15,12.1021477659984,1.87598304746994,8.23855286998732
Igfbp4,BM,MH,18297,IGFBP4,ENSG00000141753,Layer2+Layer3+Layer5+Layer6,0,1,1,0,1,1,0,0.131542099298903,0.286187119315286,-1.52432633126822,-0.217046007777669,10264,7.25401710865369,16123,ARPP19,ENSG00000128989,1.6870551404757e-15,3.76736283419629e-11,9.97536272510323,0.47446714649061,10.7203760097119
Col24a1,KM,MH,969,COL24A1,ENSG00000171502,Layer2+Layer3+Layer5+Layer6,0,1,1,0,1,1,0,0.146953189418125,0.308043610477287,1.4652093050828,0.253379624671192,10651,3.15718167106128,16123,ARPP19,ENSG00000128989,1.6870551404757e-15,3.76736283419629e-11,9.97536272510323,0.47446714649061,10.7203760097119
cux1,BM,MH,8614,CUX1,ENSG00000257923,Layer2+Layer3+Layer4,0,1,1,1,0,0,0,0.150203210460696,0.316254801965154,1.4533553388157,0.109186375620213,10605,6.38168313868375,8315,VSTM2A,ENSG00000170419,1.0308007000158e-17,2.30188104320529e-13,11.1481218349682,1.00821937847541,7.43945153359609
Foxo1,BM,MH,14820,FOXO1,ENSG00000150907,Layer5,0,0,0,0,1,0,0,0.154288763037515,0.586854431509239,-1.43875219234109,-0.292469355194236,5871,4.27564347502538,22225,PCP4,ENSG00000183036,1.81340006038636e-19,4.04950367484879e-15,12.1021477659984,1.87598304746994,8.23855286998732
S100A10,BM,MH,1385,S100A10,ENSG00000197747,Layer5,0,0,0,0,1,0,0,0.163185169523528,0.599252413047895,-1.4079523040813,-0.338734915344695,6080,7.07948592491959,22225,PCP4,ENSG00000183036,1.81340006038636e-19,4.04950367484879e-15,12.1021477659984,1.87598304746994,8.23855286998732
Kcnip2,BM,MH,13247,KCNIP2,ENSG00000120049,Layer4,0,0,0,1,0,0,0,0.182319244810095,0.488701363084172,-1.34583584792616,-0.287399559291992,8331,6.45405947248097,13544,VAMP1,ENSG00000139190,2.50371851754085e-12,4.94427546971307e-08,8.32138407748485,1.27196952053285,7.01766269947409
Kcnip1,KM,H,6723,KCNIP1,ENSG00000182132,Layer4,0,0,0,1,0,0,0,0.206596288680924,0.513752975783265,-1.27375342530809,-0.169636393140868,8980,5.24571221308197,13544,VAMP1,ENSG00000139190,2.50371851754085e-12,4.94427546971307e-08,8.32138407748485,1.27196952053285,7.01766269947409
Tle3,BM,MH,16272,TLE3,ENSG00000140332,Layer2+Layer3,0,1,1,0,0,0,0,0.270174416138316,0.528814953966208,-1.11068012781449,-0.103040246358586,11409,5.95705828516867,6121,CARTPT,ENSG00000164326,5.54857025277544e-19,1.23905122314728e-14,11.8347747970387,2.1835719060187,6.42682346372285
Sema3c,KM,H,8430,SEMA3C,ENSG00000075223,Layer6,0,0,0,0,0,1,0,0.277452342599316,0.720356733238615,1.09382843341026,0.287550395301449,8601,5.03786506708636,16311,ISLR,ENSG00000129009,7.83896921582275e-15,1.75052021558538e-10,9.62381843273433,1.58399420151474,5.62371916230842
dtx4,BM,MH,11822,DTX4,ENSG00000110042,Layer2+Layer3+Layer4,0,1,1,1,0,0,0,0.302350560050644,0.502103841488134,-1.03838868155952,-0.0822595534497639,13447,5.60032759623243,8315,VSTM2A,ENSG00000170419,1.0308007000158e-17,2.30188104320529e-13,11.1481218349682,1.00821937847541,7.43945153359609
Mdga1,BM,MH,7305,MDGA1,ENSG00000112139,Layer2+Layer3,0,1,1,0,0,0,0,0.334213267873316,0.594213095929857,0.971780396346558,0.208267598154191,12560,3.55214735104563,6121,CARTPT,ENSG00000164326,5.54857025277544e-19,1.23905122314728e-14,11.8347747970387,2.1835719060187,6.42682346372285
Sox5,BM,MH,13730,SOX5,ENSG00000134532,Layer5+Layer6,0,0,0,0,1,1,0,0.382557422570072,0.704800742794511,0.878238608801287,0.180350298056168,12121,3.74992116643224,8095,ETV1,ENSG00000006468,1.30221339071088e-22,2.90797272279647e-18,13.8764638304526,1.22028932086035,6.07655419508105
Otx1,BM,MH,2645,OTX1,ENSG00000115507,Layer5+Layer6,0,0,0,0,1,1,0,0.397851024814377,0.71665816206581,-0.850216966976044,-0.201685916785309,12397,2.06575588881633,8095,ETV1,ENSG00000006468,1.30221339071088e-22,2.90797272279647e-18,13.8764638304526,1.22028932086035,6.07655419508105
Sv2c,KM,H,6161,SV2C,ENSG00000122012,Layer3,0,0,1,0,0,0,0,0.440149919336643,0.812807111018317,0.775973368643,0.263977943529092,12092,4.40133700833812,6121,CARTPT,ENSG00000164326,2.072555835597e-12,4.62822443647165e-08,8.36374299099679,2.26423381677419,6.42682346372285
Lix1,BM,MH,6263,LIX1,ENSG00000145721,Layer5,0,0,0,0,1,0,0,0.444413294815115,0.820016155145951,-0.768731308635921,-0.271799166323693,12102,4.27451209526195,22225,PCP4,ENSG00000183036,1.81340006038636e-19,4.04950367484879e-15,12.1021477659984,1.87598304746994,8.23855286998732
Pcdh20,KM,MH,14932,PCDH20,ENSG00000280165,Layer5+Layer6,0,0,0,0,1,1,0,0.495450196341426,0.784250994587545,0.684934447031277,0.182260669147813,14107,2.09633696277204,8095,ETV1,ENSG00000006468,1.30221339071088e-22,2.90797272279647e-18,13.8764638304526,1.22028932086035,6.07655419508105
Tpbg,KM,MH,7534,TPBG,ENSG00000146242,Layer3+Layer5+Layer6,0,0,1,0,1,1,0,0.52263984403871,0.743095008150984,-0.642229170434362,-0.111308245041312,15706,5.95152183048723,14498,WSB2,ENSG00000176871,4.28038467753848e-10,9.55852702341119e-06,7.15615766252993,0.379212744011123,9.34448195501661
Rgs8,BM,MH,1765,RGS8,ENSG00000135824,Layer2+Layer6,0,1,0,0,0,1,0,0.553711850683604,0.839781264440067,0.594823920633895,0.14970328654288,14724,3.28028810824189,15352,GNG2,ENSG00000186469,3.97501639067577e-19,8.87660910201806e-15,11.9152340015669,0.949119662346921,7.41824886420956
Igsf11,KM,MH,4445,IGSF11,ENSG00000144847,Layer2+Layer3,0,1,1,0,0,0,0,0.565569851174949,0.774260688241036,0.577087260010965,0.118419828908593,16312,5.00570859561401,6121,CARTPT,ENSG00000164326,5.54857025277544e-19,1.23905122314728e-14,11.8347747970387,2.1835719060187,6.42682346372285
Ldb2,BM,MH,5138,LDB2,ENSG00000169744,Layer5,0,0,0,0,1,0,0,0.602529783900149,0.894085494336781,0.522930663305014,0.0900560060329998,15049,7.62330917199372,22225,PCP4,ENSG00000183036,1.81340006038636e-19,4.04950367484879e-15,12.1021477659984,1.87598304746994,8.23855286998732
Syt10,KM,MH,13799,SYT10,ENSG00000110975,Layer6,0,0,0,0,0,1,0,0.64117465542421,0.896798551832907,0.467910932981683,0.135045232784427,15964,0.847067714758376,16311,ISLR,ENSG00000129009,7.83896921582275e-15,1.75052021558538e-10,9.62381843273433,1.58399420151474,5.62371916230842
Npy2r,KM,H,5692,NPY2R,ENSG00000185149,Layer6,0,0,0,0,0,1,0,0.717734388960931,0.920755290747343,-0.362823391251733,-0.136563810406584,17405,2.557845578164,16311,ISLR,ENSG00000129009,7.83896921582275e-15,1.75052021558538e-10,9.62381843273433,1.58399420151474,5.62371916230842
Cyp39a1,BM,MH,7412,CYP39A1,ENSG00000146233,Layer4,0,0,0,1,0,0,0,0.723508694340292,0.881866309334265,-0.355073680486073,-0.0879788039840941,18321,0.674688129317143,13544,VAMP1,ENSG00000139190,2.50371851754085e-12,4.94427546971307e-08,8.32138407748485,1.27196952053285,7.01766269947409
Cntn6,BM,MH,3764,CNTN6,ENSG00000134115,Layer5,0,0,0,0,1,0,0,0.744754773819757,0.938273645802124,0.326739565534455,0.0754339473823057,17723,3.81119218839473,22225,PCP4,ENSG00000183036,1.81340006038636e-19,4.04950367484879e-15,12.1021477659984,1.87598304746994,8.23855286998732
Diaph3,BM,MH,14930,DIAPH3,ENSG00000139734,Layer2+Layer3+Layer5,0,1,1,0,1,0,0,0.938405291561857,0.969235201707442,0.077528100621014,0.0187040262323622,21620,2.30917874697433,5702,FAM198B,ENSG00000164125,2.82887732613666e-14,6.31716595699578e-10,-9.33334432562621,-0.686573532589193,6.6899812227886
Ppp1r1b,BM,MH,18271,PPP1R1B,ENSG00000131771,Layer6,0,0,0,0,0,1,0,0.94090706189075,0.98893421853389,0.074373111023922,0.00749485273245832,21246,7.72224084085782,16311,ISLR,ENSG00000129009,7.83896921582275e-15,1.75052021558538e-10,9.62381843273433,1.58399420151474,5.62371916230842
Crym,BM,MH,16941,CRYM,ENSG00000103316,Layer5+Layer6,0,0,0,0,1,1,0,0.968019996608845,0.989465580824467,0.0402228390323378,0.00534245194327956,21847,8.64098305919561,8095,ETV1,ENSG00000006468,1.30221339071088e-22,2.90797272279647e-18,13.8764638304526,1.22028932086035,6.07655419508105
Syt9,BM,MH,11537,SYT9,ENSG00000170743,Layer5,0,0,0,0,1,0,0,0.971069127887684,0.993490918333973,-0.0363859689181682,-0.00857877111243317,21827,3.29675376617192,22225,PCP4,ENSG00000183036,1.81340006038636e-19,4.04950367484879e-15,12.1021477659984,1.87598304746994,8.23855286998732
